color,movie_title,language,country,budget,title_year,aspect_ratio
 Black and White,Over the Hill to the Poorhouse ,,USA,100000,1920,1.33
 Black and White,The Call of Cthulhu ,English,USA,50000,2005,1.33
 Black and White,Tin Can Man ,English,Ireland,10000,2007,1.33
Color,Big Fish ,English,USA,70000000,2003,1.37
Color,I Spy ,English,USA,70000000,2002,1.37
Color,What Women Want ,English,USA,70000000,2000,1.37
Color,Bowfinger ,English,USA,55000000,1999,1.37
Color,Pinocchio ,English,USA,2600000,1940,1.37
Color,28 Days ,English,USA,43000000,2000,1.37
Color,Back to the Future Part III ,English,USA,40000000,1990,1.37
Color,Predator 2 ,English,USA,35000000,1990,1.37
Color,The Grand Budapest Hotel ,English,USA,25000000,2014,1.37
Color,The Running Man ,English,USA,27000000,1987,1.37
Color,Dumb and Dumberer: When Harry Met Lloyd ,English,USA,19000000,2003,1.37
Color,The Curse of the Jade Scorpion ,English,USA,26000000,2001,1.37
Color,Three to Tango ,English,Australia,20000000,1999,1.37
Color,The Shining ,English,USA,19000000,1980,1.37
Color,House on Haunted Hill ,English,USA,19000000,1999,1.37
Color,Troop Beverly Hills ,English,USA,18000000,1989,1.37
Color,The Muse ,English,USA,15000000,1999,1.37
Color,The Assassin ,Mandarin,Taiwan,15000000,2015,1.37
Color,"Dude, Where's My Car? ",English,USA,13000000,2000,1.37
 Black and White,The Prisoner of Zenda ,English,USA,,1937,1.37
Color,The Exorcist ,English,USA,8000000,1973,1.37
Color,Heavy Metal ,English,Canada,9300000,1981,1.37
Color,Quo Vadis ,English,USA,7623000,1951,1.37
Color,The Omega Code ,English,USA,7500000,1999,1.37
Color,My Dog Skip ,English,USA,5000000,2000,1.37
Color,Duel in the Sun ,English,USA,8000000,1946,1.37
Color,"20,000 Leagues Under the Sea ",English,USA,5000000,1954,1.37
 Black and White,A Farewell to Arms ,English,USA,800000,1932,1.37
Color,Tycoon ,English,USA,3209000,1947,1.37
Color,Requiem for a Dream ,English,USA,4500000,2000,1.37
Color,State Fair ,English,USA,,1945,1.37
Color,Annie Hall ,English,USA,4000000,1977,1.37
Color,The Greatest Show on Earth ,English,USA,4000000,1952,1.37
Color,Gone with the Wind ,English,USA,3977000,1939,1.37
Color,Annie Get Your Gun ,English,USA,3768785,1950,1.37
Color,The Pirate ,English,USA,3700000,1948,1.37
Color,Taxman ,English,USA,1000000,1998,1.37
Color,Goldfinger ,English,UK,3000000,1964,1.37
Color,It's a Wonderful Life ,English,USA,3180000,1946,1.37
 Black and White,Red River ,English,USA,3000000,1948,1.37
 Black and White,The Wizard of Oz ,English,USA,2800000,1939,1.37
 Black and White,A Guy Named Joe ,English,USA,2627000,1943,1.37
Color,Singin' in the Rain ,English,USA,2540800,1952,1.37
Color,That Thing You Do! ,English,USA,26000000,1996,1.37
Color,Bathing Beauty ,English,USA,2361000,1944,1.37
Color,Fantasia ,English,USA,2280000,1940,1.37
 Black and White,The Valley of Decision ,English,USA,2160000,1945,1.37
 Black and White,The Best Years of Our Lives ,English,USA,2100000,1946,1.37
Color,From Russia with Love ,English,UK,2000000,1963,1.37
 Black and White,Boom Town ,English,USA,1614000,1940,1.37
 Black and White,Gentleman's Agreement ,English,USA,2000000,1947,1.37
 Black and White,Alexander's Ragtime Band ,English,USA,2000000,1938,1.37
Color,Bananas ,English,USA,2000000,1971,1.37
 Black and White,The Lady from Shanghai ,English,USA,2300000,1947,1.37
 Black and White,A Streetcar Named Desire ,English,USA,1800000,1951,1.37
 Black and White,Deadline - U.S.A. ,English,USA,,1952,1.37
 Black and White,You Can't Take It with You ,English,USA,1644736,1938,1.37
 Black and White,From Here to Eternity ,English,USA,1650000,1953,1.37
Color,She Wore a Yellow Ribbon ,English,USA,1600000,1949,1.37
Color,The Conversation ,English,USA,1600000,1974,1.37
 Black and White,Mr. Smith Goes to Washington ,English,USA,1500000,1939,1.37
Color,Spellbound ,English,USA,1696377,1945,1.37
 Black and White,Modern Times ,English,USA,1500000,1936,1.37
Color,Snow White and the Seven Dwarfs ,English,USA,2000000,1937,1.37
 Black and White,Rebecca ,English,USA,1288000,1940,1.37
 Black and White,The Lost Weekend ,English,USA,1250000,1945,1.37
Color,Niagara ,English,USA,1250000,1953,1.37
 Black and White,How Green Was My Valley ,English,USA,1250000,1941,1.37
 Black and White,The Blue Bird ,English,USA,,1940,1.37
 Black and White,The Charge of the Light Brigade ,English,USA,1200000,1936,1.37
Color,Casablanca ,English,USA,950000,1942,1.37
Color,Tom Jones ,English,UK,1000000,1963,1.37
Color,Dr. No ,English,UK,1100000,1962,1.37
 Black and White,Sands of Iwo Jima ,English,USA,1000000,1949,1.37
 Black and White,The Party's Over ,English,UK,,1965,1.37
 Black and White,High Noon ,English,USA,750000,1952,1.37
 Black and White,Top Hat ,English,USA,609000,1935,1.37
 Black and White,Seven Samurai ,Japanese,Japan,2000000,1954,1.37
 Black and White,42nd Street ,English,USA,439000,1933,1.37
 Black and White,Dogtown and Z-Boys ,English,USA,,2001,1.37
Color,Tarnation ,English,USA,218,2003,1.37
 Black and White,The Broadway Melody ,English,USA,379000,1929,1.37
Color,The Evil Dead ,English,USA,375000,1981,1.37
 Black and White,It Happened One Night ,English,USA,325000,1934,1.37
Color,The Stewardesses ,English,USA,100000,1969,1.37
 Black and White,"The Beast from 20,000 Fathoms ",English,USA,210000,1953,1.37
Color,"20,000 Leagues Under the Sea ",English,USA,5000000,1954,1.37
 Black and White,She Done Him Wrong ,English,USA,200000,1933,1.37
Color,The Case of the Grinning Cat ,French,France,150000,2004,1.37
 Black and White,Ordet ,Danish,Denmark,,1955,1.37
Color,Sweet Sweetback's Baadasssss Song ,English,USA,500000,1971,1.37
 Black and White,Une Femme Mariée ,French,France,120000,1964,1.37
 Black and White,Eraserhead ,English,USA,20000,1977,1.37
 Black and White,Open Secret ,English,USA,,1948,1.37
 Black and White,Clerks ,English,USA,230000,1994,1.37
Color,Pink Narcissus ,English,USA,27000,1971,1.37
Color,Funny Ha Ha ,English,USA,,2002,1.37
 Black and White,Slacker ,English,USA,23000,1991,1.37
Color,Pink Flamingos ,English,USA,10000,1972,1.37
Color,El Mariachi ,Spanish,USA,7000,1992,1.37
Color,Michael Jordan to the Max ,English,USA,,2000,1.44
Color,Treasure Planet ,English,USA,140000000,2002,1.5
Color,The Trouble with Harry ,English,USA,1200000,1955,1.5
Color,The Emperor's New Groove ,English,USA,100000000,2000,1.66
Color,Mulan ,English,USA,90000000,1998,1.66
Color,Lilo & Stitch ,English,USA,80000000,2002,1.66
Color,The Lion King ,English,USA,45000000,1994,1.66
Color,Eyes Wide Shut ,English,UK,65000000,1999,1.66
Color,Sinbad: Legend of the Seven Seas ,English,USA,60000000,2003,1.66
 Black and White,Lolita ,English,UK,2000000,1962,1.66
Color,"Blood In, Blood Out ",English,USA,35000000,1993,1.66
 Black and White,The Good German ,English,USA,32000000,2006,1.66
Color,Return to Never Land ,English,USA,20000000,2002,1.66
Color,Topsy-Turvy ,English,UK,10000000,1999,1.66
Color,The White Countess ,English,UK,16000000,2005,1.66
Color,Ararat ,English,Canada,,2002,1.66
Color,"New York, New York ",English,USA,14000000,1977,1.66
Color,Serial Mom ,English,USA,13000000,1994,1.66
 Black and White,Celebrity ,English,USA,12000000,1998,1.66
Color,Barry Lyndon ,English,UK,11000000,1975,1.66
Color,The Brown Bunny ,English,USA,10000000,2003,1.66
Color,The Swindle ,French,France,60000000,1997,1.66
Color,Prefontaine ,English,USA,8000000,1997,1.66
Color,Dear Wendy ,English,Italy,50000000,2004,1.66
Color,Live and Let Die ,English,UK,7000000,1973,1.66
Color,The Man with the Golden Gun ,English,UK,13000000,1974,1.66
 Black and White,Hard to Be a God ,Russian,Russia,7000000,2013,1.66
Color,Mary Poppins ,English,USA,6000000,1964,1.66
Color,The Flower of Evil ,French,France,,2003,1.66
 Black and White,The Train ,English,France,6700000,1964,1.66
Color,Four Weddings and a Funeral ,English,UK,4500000,1994,1.66
Color,Moby Dick ,English,USA,4500000,1956,1.66
Color,Leaving Las Vegas ,English,USA,3600000,1995,1.66
 Black and White,The Misfits ,English,USA,4000000,1961,1.66
Color,A Man for All Seasons ,English,UK,2000000,1966,1.66
Color,The Witch ,English,USA,3500000,2015,1.66
Color,Choke ,English,USA,3000000,2008,1.66
Color,A Room with a View ,English,UK,3000000,1985,1.66
Color,Slow West ,English,UK,,2015,1.66
Color,Elmer Gantry ,English,USA,3000000,1960,1.66
Color,Warlock: The Armageddon ,English,USA,3000000,1993,1.66
 Black and White,Some Like It Hot ,English,USA,2883848,1959,1.66
Color,Ulee's Gold ,English,USA,2700000,1997,1.66
Color,Maurice ,English,UK,2600000,1987,1.66
 Black and White,Lolita ,English,UK,2000000,1962,1.66
Color,The Triplets of Belleville ,French,France,9500000,2003,1.66
Color,The Torture Chamber of Dr. Sadism ,German,West Germany,,1967,1.66
 Black and White,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,English,USA,1800000,1964,1.66
Color,The Ballad of Jack and Rose ,English,USA,1500000,2005,1.66
 Black and White,The Believer ,English,USA,1500000,2001,1.66
Color,Blue Valentine ,English,USA,3500000,2010,1.66
Color,My Last Day Without You ,English,USA,1000000,2011,1.66
Color,The Conformist ,Italian,Italy,750000,1970,1.66
Color,Wordplay ,English,USA,,2006,1.66
Color,Metropolitan ,English,USA,225000,1990,1.66
Color,Monty Python and the Holy Grail ,English,UK,229575,1975,1.66
Color,My Beautiful Laundrette ,English,UK,650000,1985,1.66
Color,Cries & Whispers ,Swedish,Sweden,400000,1972,1.66
 Black and White,12 Angry Men ,English,USA,350000,1957,1.66
Color,When the Cat's Away ,French,France,300000,1996,1.66
Color,Old Joy ,English,USA,300000,2006,1.66
Color,The Trials of Darryl Hunt ,English,USA,200000,2006,1.66
Color,Roger & Me ,English,USA,160000,1989,1.66
Color,The Blood of My Brother ,English,USA,120000,2005,1.66
 Black and White,Pi ,English,USA,60000,1998,1.66
 Black and White,The Brain That Wouldn't Die ,English,USA,62000,1962,1.66
 Black and White,Mutual Appreciation ,English,USA,,2005,1.66
 Black and White,Judgment at Nuremberg ,English,USA,3000000,1961,1.75
Color,Who Killed the Electric Car? ,English,USA,1000000,2006,1.75
 Black and White,A Hard Day's Night ,English,UK,560000,1964,1.75
Color,Space Jam ,English,USA,80000000,1996,1.77
Color,Avatar ,English,USA,237000000,2009,1.78
Color,The Chronicles of Narnia: The Voyage of the Dawn Treader ,English,USA,155000000,2010,1.78
Color,Star Wars: Episode II - Attack of the Clones ,English,USA,115000000,2002,1.78
Color,The Smurfs ,English,USA,110000000,2011,1.78
Color,Home on the Range ,English,USA,110000000,2004,1.78
Color,The Hunchback of Notre Dame ,English,USA,100000000,1996,1.78
Color,Hannibal             ,English,USA,,,1.78
Color,Fantasia 2000 ,English,USA,80000000,1999,1.78
Color,This Is It ,English,USA,60000000,2009,1.78
Color,Rules of Engagement             ,English,USA,,,1.78
Color,Pocahontas ,English,USA,55000000,1995,1.78
Color,Defiance             ,English,USA,,,1.78
Color,The Tooth Fairy ,English,USA,1500000,2006,1.78
Color,Friday Night Lights             ,English,USA,,,1.78
Color,Entourage             ,English,USA,,,1.78
Color,Once Upon a Time in Mexico ,English,USA,29000000,2003,1.78
Color,Love Ranch ,English,USA,25000000,2010,1.78
Color,Jackass 3D ,English,USA,20000000,2010,1.78
Color,The Tigger Movie ,English,USA,30000000,2000,1.78
Color,Under the Rainbow ,English,USA,20000000,1981,1.78
Color,Zambezia ,English,South Africa,20000000,2012,1.78
Color,The O.C.             ,English,USA,,,1.78
Color,Vamps ,English,USA,16000000,2012,1.78
Color,U2 3D ,English,USA,,2007,1.78
Color,The Company             ,English,USA,,,1.78
Color,Dungeons & Dragons: Wrath of the Dragon God ,English,Germany,15000000,2005,1.78
Color,The Last Godfather ,English,South Korea,13400000,2010,1.78
Color,Crank ,English,USA,12000000,2006,1.78
Color,Bones             ,English,USA,,,1.78
Color,Spider ,English,Canada,8000000,2002,1.78
Color,"War, Inc. ",English,USA,10000000,2008,1.78
Color,Re-Kill ,English,USA,9500000,2015,1.78
Color,The Bold and the Beautiful             ,English,USA,,,1.78
Color,Fargo             ,English,USA,,,1.78
Color,Stargate: The Ark of Truth ,English,USA,,2008,1.78
Color,High School Musical 2 ,English,USA,7000000,2007,1.78
Color,Dolphins and Whales 3D: Tribes of the Ocean ,English,UK,6000000,2008,1.78
Color,Veronica Mars             ,English,USA,,,1.78
Color,Emma             ,English,UK,,,1.78
Color,Paranormal Activity: The Marked Ones ,English,USA,5000000,2014,1.78
Color,Sea Rex 3D: Journey to a Prehistoric World ,English,UK,5000000,2010,1.78
Color,Saving Grace             ,English,USA,,,1.78
Color,Dead Like Me: Life After Death ,English,USA,5000000,2009,1.78
Color,Psych             ,English,USA,,,1.78
Color,We Have Your Husband ,English,USA,5000000,2011,1.78
Color,R.L. Stine's Monsterville: The Cabinet of Souls ,English,USA,4400000,2015,1.78
Color,Hansel & Gretel Get Baked ,English,USA,4500000,2013,1.78
Color,Saving Grace             ,English,USA,,,1.78
Color,The Loss of Sexual Innocence ,English,USA,4000000,1999,1.78
Color,How to Fall in Love ,English,USA,4000000,2012,1.78
Color,The Nun's Story ,English,USA,3500000,1959,1.78
Color,Sharknado ,English,USA,1000000,2013,1.78
Color,In the Name of the King: The Last Job ,English,Canada,3500000,2014,1.78
Color,Letters to God ,English,USA,3500000,2010,1.78
Color,Creature             ,English,USA,,,1.78
Color,Tim and Eric's Billion Dollar Movie ,English,USA,3000000,2012,1.78
Color,My Big Fat Independent Movie ,English,USA,3000000,2005,1.78
Color,Chicago Overcoat ,English,USA,3000000,2009,1.78
Color,My Own Private Idaho ,English,USA,2500000,1991,1.78
Color,Religulous ,English,USA,2500000,2008,1.78
Color,8: The Mormon Proposition ,English,USA,2500000,2010,1.78
Color,Lies in Plain Sight ,English,USA,2100000,2010,1.78
Color,Shortbus ,English,USA,2000000,2006,1.78
Color,Eureka             ,English,USA,,,1.78
Color,Plush ,English,USA,,2013,1.78
Color,Grave Encounters ,English,Canada,100000,2011,1.78
Color,No Man's Land: The Rise of Reeker ,English,USA,2000000,2008,1.78
Color,The Marine 4: Moving Target ,English,USA,1950000,2015,1.78
 Black and White,Ed and His Dead Mother ,English,USA,1800000,1993,1.78
Color,The To Do List ,English,USA,1500000,2013,1.78
Color,The Lion of Judah ,English,USA,15000000,2011,1.78
Color,Down and Out with the Dolls ,English,USA,1200000,2001,1.78
Color,Q ,French,France,1500000,2011,1.78
Color,"Food, Inc. ",English,USA,,2008,1.78
Color,20 Feet from Stardom ,English,USA,1000000,2013,1.78
Color,Wristcutters: A Love Story ,English,USA,1000000,2006,1.78
Color,16 to Life ,English,USA,1000000,2009,1.78
Color,The Helix... Loaded ,English,USA,1000000,2005,1.78
Color,Hits ,English,USA,1000000,2014,1.78
Color,Snow White: A Deadly Summer ,English,USA,1000000,2012,1.78
Color,Doc Holliday's Revenge ,English,USA,1000000,2014,1.78
Color,Harrison Montgomery ,English,USA,850000,2008,1.78
Color,Iraq for Sale: The War Profiteers ,English,USA,750000,2006,1.78
Color,Interview with the Assassin ,English,USA,750000,2002,1.78
Color,Arnolds Park ,English,USA,600000,2007,1.78
Color,Alleluia! The Devil's Carnival ,English,USA,500000,2016,1.78
Color,Gory Gory Hallelujah ,English,USA,100000,2003,1.78
Color,I Want Your Money ,English,USA,400000,2010,1.78
 Black and White,Fabled ,English,USA,,2002,1.78
Color,Show Me ,French,Canada,900000,2004,1.78
Color,Censored Voices ,Hebrew,Israel,450000,2015,1.78
Color,Bizarre ,English,France,500000,2015,1.78
Color,Like Crazy ,English,USA,250000,2011,1.78
Color,Rust ,English,Canada,250000,2010,1.78
Color,Ink ,English,USA,,2009,1.78
Color,Short Cut to Nirvana: Kumbh Mela ,English,USA,200000,2004,1.78
Color,The Man from Earth ,English,USA,200000,2007,1.78
 Black and White,Yesterday Was a Lie ,English,USA,2500000,2008,1.78
Color,Archaeology of a Woman ,English,USA,200000,2012,1.78
Color,A Dog's Breakfast ,English,Canada,120000,2007,1.78
Color,A Dog's Breakfast ,English,Canada,120000,2007,1.78
Color,Echo Dr. ,English,USA,100000,2013,1.78
Color,The Past is a Grotesque Animal ,English,USA,100000,2014,1.78
Color,Super Size Me ,English,USA,65000,2004,1.78
Color,Tiger Orange ,English,USA,100000,2014,1.78
Color,Absentia ,English,USA,70000,2011,1.78
Color,Hayride ,English,USA,60000,2012,1.78
Color,Counting ,English,USA,50000,2015,1.78
Color,Manito ,English,USA,24000,2002,1.78
Color,Dry Spell ,English,USA,22000,2013,1.78
Color,Tangled ,English,USA,260000000,2010,1.85
Color,The Avengers ,English,USA,220000000,2012,1.85
Color,Men in Black 3 ,English,USA,225000000,2012,1.85
Color,Alice in Wonderland ,English,USA,200000000,2010,1.85
Color,Monsters University ,English,USA,200000000,2013,1.85
Color,Toy Story 3 ,English,USA,200000000,2010,1.85
Color,Pacific Rim ,English,USA,190000000,2013,1.85
Color,Up ,English,USA,175000000,2009,1.85
Color,Hugo ,English,USA,170000000,2011,1.85
Color,Wild Wild West ,English,USA,170000000,1999,1.85
Color,Waterworld ,English,USA,175000000,1995,1.85
Color,Inside Out ,English,USA,175000000,2015,1.85
Color,The Jungle Book ,English,UK,175000000,2016,1.85
Color,Dawn of the Planet of the Apes ,English,USA,170000000,2014,1.85
Color,Alice Through the Looking Glass ,English,USA,170000000,2016,1.85
Color,Shrek the Third ,English,USA,160000000,2007,1.85
Color,Charlie and the Chocolate Factory ,English,USA,150000000,2005,1.85
Color,Madagascar: Escape 2 Africa ,English,USA,150000000,2008,1.85
Color,Bolt ,English,USA,150000000,2008,1.85
Color,Wrath of the Titans ,English,USA,150000000,2012,1.85
Color,Dark Shadows ,English,USA,100000000,2012,1.85
Color,The Wolfman ,English,USA,150000000,2010,1.85
Color,Bee Movie ,English,USA,150000000,2007,1.85
Color,Flushed Away ,English,UK,149000000,2006,1.85
Color,Mr. Peabody & Sherman ,English,USA,145000000,2014,1.85
Color,Madagascar 3: Europe's Most Wanted ,English,USA,145000000,2012,1.85
Color,Men in Black II ,English,USA,140000000,2002,1.85
Color,Rise of the Guardians ,English,USA,145000000,2012,1.85
Color,Spider-Man ,English,USA,139000000,2002,1.85
Color,Hulk ,English,USA,137000000,2003,1.85
Color,Final Fantasy: The Spirits Within ,English,USA,137000000,2001,1.85
Color,Penguins of Madagascar ,English,USA,132000000,2014,1.85
Color,Ant-Man ,English,USA,130000000,2015,1.85
Color,Home ,English,USA,135000000,2015,1.85
Color,War of the Worlds ,English,USA,132000000,2005,1.85
Color,Noah ,English,USA,125000000,2014,1.85
Color,Dinosaur ,English,USA,127500000,2000,1.85
Color,Night at the Museum: Secret of the Tomb ,English,USA,127000000,2014,1.85
Color,Total Recall ,English,USA,65000000,1990,1.85
Color,Batman & Robin ,English,USA,125000000,1997,1.85
Color,How the Grinch Stole Christmas ,English,USA,123000000,2000,1.85
Color,Life of Pi ,English,USA,120000000,2012,1.85
Color,Stuart Little 2 ,English,USA,120000000,2002,1.85
Color,How Do You Know ,English,USA,120000000,2010,1.85
Color,"Monsters, Inc. ",English,USA,115000000,2001,1.85
Color,Night at the Museum ,English,USA,110000000,2006,1.85
Color,The Smurfs 2 ,English,USA,105000000,2013,1.85
Color,The Cat in the Hat ,English,USA,109000000,2003,1.85
Color,Stuart Little ,English,Germany,133000000,1999,1.85
Color,The Princess and the Frog ,English,USA,105000000,2009,1.85
Color,Town & Country ,English,New Line,90000000,2001,1.85
Color,American Gangster ,English,USA,100000000,2007,1.85
Color,Little Fockers ,English,USA,100000000,2010,1.85
Color,Batman Forever ,English,USA,100000000,1995,1.85
Color,Starship Troopers ,English,USA,105000000,1997,1.85
Color,Land of the Lost ,English,USA,100000000,2009,1.85
Color,Son of the Mask ,English,USA,84000000,2005,1.85
Color,In the Heart of the Sea ,English,USA,100000000,2015,1.85
Color,The Adventures of Pluto Nash ,English,USA,100000000,2002,1.85
Color,The Peanuts Movie ,English,USA,99000000,2015,1.85
Color,The Spanish Prisoner ,English,USA,10000000,1997,1.85
Color,Surf's Up ,English,USA,100000000,2007,1.85
Color,The Stepford Wives ,English,USA,90000000,2004,1.85
Color,The Campaign ,English,USA,95000000,2012,1.85
Color,Sex and the City 2 ,English,USA,100000000,2010,1.85
Color,The Road to El Dorado ,English,USA,95000000,2000,1.85
Color,Finding Nemo ,English,USA,94000000,2003,1.85
Color,Jurassic Park III ,English,USA,93000000,2001,1.85
Color,A Good Day to Die Hard ,English,USA,92000000,2013,1.85
Color,Men in Black ,English,USA,90000000,1997,1.85
Color,Toy Story 2 ,English,USA,90000000,1999,1.85
Color,Ice Age: Dawn of the Dinosaurs ,English,USA,90000000,2009,1.85
Color,Sherlock Holmes ,English,USA,90000000,2009,1.85
Color,Alvin and the Chipmunks: The Road Chip ,English,USA,90000000,2015,1.85
Color,Valkyrie ,English,USA,75000000,2008,1.85
Color,You Don't Mess with the Zohan ,English,USA,90000000,2008,1.85
Color,A.I. Artificial Intelligence ,English,USA,100000000,2001,1.85
Color,Hollow Man ,English,USA,95000000,2000,1.85
Color,Bicentennial Man ,English,USA,100000000,1999,1.85
Color,Volcano ,English,USA,90000000,1997,1.85
Color,Cast Away ,English,USA,90000000,2000,1.85
Color,Hotel Transylvania ,English,USA,85000000,2012,1.85
Color,102 Dalmatians ,English,USA,85000000,2000,1.85
Color,The Holiday ,English,USA,85000000,2006,1.85
Color,It's Complicated ,English,USA,85000000,2009,1.85
Color,Open Season ,English,USA,85000000,2006,1.85
Color,Arthur Christmas ,English,UK,100000000,2011,1.85
Color,Meet Joe Black ,English,USA,90000000,1998,1.85
Color,Collateral Damage ,English,USA,85000000,2002,1.85
Color,All That Jazz ,English,USA,,1979,1.85
Color,Mirror Mirror ,English,USA,85000000,2012,1.85
Color,Scott Pilgrim vs. the World ,English,USA,60000000,2010,1.85
Color,Nutty Professor II: The Klumps ,English,USA,65000000,2000,1.85
Color,Scooby-Doo ,English,USA,84000000,2002,1.85
Color,Click ,English,USA,70000000,2006,1.85
Color,Creepshow ,English,USA,8000000,1982,1.85
Color,Cats & Dogs: The Revenge of Kitty Galore ,English,USA,85000000,2010,1.85
Color,Hellboy II: The Golden Army ,English,USA,85000000,2008,1.85
Color,Bruce Almighty ,English,USA,81000000,2003,1.85
Color,Batman Returns ,English,USA,80000000,1992,1.85
Color,Over the Hedge ,English,USA,80000000,2006,1.85
Color,Charlotte's Web ,English,USA,,2006,1.85
Color,Alvin and the Chipmunks: Chipwrecked ,English,USA,75000000,2011,1.85
Color,Grown Ups 2 ,English,USA,80000000,2013,1.85
Color,Get Smart ,English,USA,80000000,2008,1.85
Color,Something's Gotta Give ,English,USA,80000000,2003,1.85
Color,Four Christmases ,English,Germany,80000000,2008,1.85
Color,Robots ,English,USA,75000000,2005,1.85
Color,Just Go with It ,English,USA,80000000,2011,1.85
Color,Flubber ,English,USA,80000000,1997,1.85
Color,The Pink Panther ,English,USA,65000000,2006,1.85
Color,Yogi Bear ,English,USA,80000000,2010,1.85
Color,The Manchurian Candidate ,English,USA,80000000,2004,1.85
Color,Déjà Vu ,English,USA,,1997,1.85
Color,Hotel Transylvania 2 ,English,USA,80000000,2015,1.85
Color,Mighty Joe Young ,English,USA,90000000,1998,1.85
Color,Little Nicky ,English,USA,80000000,2000,1.85
Color,The Brothers Grimm ,English,USA,88000000,2005,1.85
Color,Thirteen Days ,English,USA,80000000,2000,1.85
Color,Daylight ,English,USA,80000000,1996,1.85
Color,Babe: Pig in the City ,English,Australia,80000000,1998,1.85
Color,A Beautiful Mind ,English,USA,58000000,2001,1.85
Color,Journey 2: The Mysterious Island ,English,USA,79000000,2012,1.85
Color,Jack and Jill ,English,USA,79000000,2011,1.85
Color,The Invasion ,English,USA,80000000,2007,1.85
Color,The Adventures of Rocky & Bullwinkle ,English,USA,76000000,2000,1.85
Color,The Secret Life of Pets ,English,Japan,75000000,2016,1.85
Color,Despicable Me 2 ,English,USA,76000000,2013,1.85
Color,The Lost World: Jurassic Park ,English,USA,73000000,1997,1.85
